Rosay	person-other
said	O
flying	O
the	O
A380	product-airplane
had	O
been	O
``	O
like	O
handling	O
a	O
bicycle	O
''	O
.	O

These	O
were	O
soon	O
exchanged	O
for	O
the	O
Meteor	product-airplane
F.8	product-airplane
in	O
April	O
1951	O
which	O
were	O
flown	O
until	O
October	O
1956	O
when	O
No	O
.	O

The	O
Mighty	product-airplane
Shrikes	product-airplane
began	O
its	O
transition	O
from	O
the	O
F/A-18C	product-airplane
Hornet	product-airplane
to	O
the	O
F/A-18F	product-airplane
Super	product-airplane
Hornet	product-airplane
in	O
September	O
2015	O
,	O
completing	O
the	O
transition	O
in	O
March	O
2016	O
.	O

In	O
1944	O
,	O
training	O
in	O
the	O
carrier-based	O
F6F	product-airplane
Hellcat	product-airplane
fighter	product-airplane
was	O
also	O
added	O
to	O
NAS	event-other
DeLand	event-other
's	event-other
mission	event-other
.	O

First	organization-company
Air	organization-company
Flight	product-airplane
6560	product-airplane
was	O
a	O
domestic	O
charter	O
flight	O
that	O
crashed	O
on	O
landing	O
at	O
Resolute	location-GPE
,	O
Nunavut	location-GPE
,	O
Canada	location-GPE
,	O
on	O
20	O
August	O
2011	O
.	O

Under	O
the	O
subsequent	O
BRAC	O
2005	O
,	O
the	O
940	organization-other
ARW	organization-other
's	O
KC-135R	product-airplane
aircraft	O
were	O
realigned	O
and	O
the	O
last	O
aircraft	O
departed	O
Beale	O
by	O
the	O
end	O
of	O
2008	O
.	O

Became	O
Special	O
Operations	O
group	O
in	O
1972	O
,	O
flying	O
Cessna	product-airplane
A-37	product-airplane
Dragonfly	product-airplane
;	O
Tactical	O
Fighter	O
Group	O
in	O
1973	O
,	O
receiving	O
A-10	product-airplane
Thunderbolt	product-airplane
II	product-airplane
aircraft	O
in	O
1981	O
.	O

The	O
Valiant	product-airplane
was	O
the	O
only	O
V	O
bomber	O
to	O
have	O
dropped	O
live	O
nuclear	O
weapons	O
(	O
for	O
test	O
purposes	O
)	O
.	O

Beginning	O
in	O
1974	O
,	O
active-duty	O
squadrons	O
from	O
Myrtle	location-GPE
Beach	location-GPE
,	O
England	location-GPE
and	O
